GenBank_ID	NCBI_taxid	NCBI_phylum	NCBI_class	NCBI_order	NCBI_family	NCBI_genus	NCBI_species	In_default_rep_db
NC_054308	328098	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Acanthus	Acanthus_ilicifolius	TRUE
NC_070388	1605257	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Acanthus	Acanthus_leucostachyus	FALSE
NC_070389	76277	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Acanthus	Acanthus_mollis	FALSE
NC_022451	175694	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Andrographis	Andrographis_paniculata	TRUE
NC_041424	2315787	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Aphelandra	Aphelandra_knappiae	TRUE
NC_047414	82927	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Avicennia	Avicennia_marina	TRUE
NC_061403	1238153	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Avicennia	Avicennia_marina	FALSE
NC_063736	1134458	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Avicennia	Avicennia_officinalis	FALSE
NC_070081	489322	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Barleria	Barleria_cristata	TRUE
NC_070082	101743	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Barleria	Barleria_lupulina	FALSE
NC_048478	4189	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Barleria	Barleria_prionitis	FALSE
NC_070083	76356	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Barleria	Barleria_repens	FALSE
NC_070084	3014869	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Barleria	Barleria_siamensis	FALSE
NC_070085	1749380	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Barleria	Barleria_strigosa	FALSE
NC_046601	1569713	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Blepharis	Blepharis_ciliaris	TRUE
NC_084174	3080981	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Chroesthes	Chroesthes_longifolia	TRUE
NC_042162	714457	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Clinacanthus	Clinacanthus_nutans	TRUE
NC_080986	3056920	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Dicliptera	Dicliptera_tinctoria	TRUE
NC_079916	478911	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Ecbolium	Ecbolium_viride	TRUE
NC_039762	1204778	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Echinacanthus	Echinacanthus_attenuatus	TRUE
NC_035876	2029165	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Echinacanthus	Echinacanthus_lofuensis	FALSE
NC_039761	1279188	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Echinacanthus	Echinacanthus_longipes	FALSE
NC_039678	2079031	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Echinacanthus	Echinacanthus_longzhouensis	FALSE
NC_080349	521743	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Hygrophila	Hygrophila_ringens	TRUE
NC_070062	13571	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Hypoestes	Hypoestes_forskaolii	TRUE
NC_047476	141317	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia_adhatoda	TRUE
NC_080235	141318	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia_betonica	FALSE
NC_080242	1685546	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia_demissa	FALSE
NC_044862	2038526	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia_flava	FALSE
NC_080241	714472	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia_gendarussa	FALSE
NC_080240	1685547	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia_grossa	FALSE
NC_080236	1685548	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia_latiflora	FALSE
NC_044668	1685549	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia_leptostachya	FALSE
NC_080243	3040089	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia_lianshanica	FALSE
NC_080238	1685551	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia_patentiflora	FALSE
NC_080234	1685553	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia_quadrifaria	FALSE
NC_080239	1685555	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia_vagabunda	FALSE
NC_059953	714471	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia_ventricosa	FALSE
NC_070340	76374	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Pachystachys	Pachystachys_lutea	TRUE
NC_056198	1082503	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Peristrophe	Peristrophe_japonica	TRUE
NC_057986	2816899	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Pseuderanthemum	Pseuderanthemum_haikangense	TRUE
NC_080237	3040088	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Rostellularia	Rostellularia_mollissima	TRUE
NC_062458	859317	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Rostellularia	Rostellularia_procumbens	FALSE
NC_060331	440931	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Ruellia	Ruellia_brittoniana	TRUE
NC_082429	440949	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Ruellia	Ruellia_elegans	FALSE
NC_080330	1176413	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Ruellia	Ruellia_simplex	FALSE
NC_080332	441023	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Ruellia	Ruellia_speciosa	FALSE
NC_064996	640501	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Staurogyne	Staurogyne_concinnula	TRUE
NC_060347	2824936	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Strobilanthes	Strobilanthes_biocullata	TRUE
NC_060385	946018	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Strobilanthes	Strobilanthes_crispa	FALSE
NC_037485	222567	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Strobilanthes	Strobilanthes_cusia	FALSE
NC_084379	3065487	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Strobilanthes	Strobilanthes_dalzielii	FALSE
NC_066801	259420	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Strobilanthes	Strobilanthes_lupulina	FALSE
NC_058776	2872187	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Strobilanthes	Strobilanthes_medahinnensis	FALSE
NC_059902	2792840	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Strobilanthes	Strobilanthes_tonkinensis	FALSE
NC_042720	593753	Streptophyta	Magnoliopsida	Malpighiales	Achariaceae	Hydnocarpus	Hydnocarpus_hainanensis	TRUE
NC_040946	1904701	Streptophyta	Magnoliopsida	Caryophyllales	Achatocarpaceae	Achatocarpus	Achatocarpus_nigricans	TRUE
NC_040947	2518633	Streptophyta	Magnoliopsida	Caryophyllales	Achatocarpaceae	Achatocarpus	Achatocarpus_pubescens	FALSE
NC_007407	4465	Streptophyta	Magnoliopsida	Acorales	Acoraceae	Acorus	Acorus_calamus	TRUE
NC_010093	263995	Streptophyta	Magnoliopsida	Acorales	Acoraceae	Acorus	Acorus_calamus	FALSE
NC_026299	55184	Streptophyta	Magnoliopsida	Acorales	Acoraceae	Acorus	Acorus_gramineus	FALSE
NC_045294	123564	Streptophyta	Magnoliopsida	Acorales	Acoraceae	Acorus	Acorus_tatarinowii	FALSE
NC_034913	64478	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_arguta	TRUE
NC_043861	165782	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_callosa	FALSE
NC_026690	3625	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_chinensis	FALSE
NC_026691	3627	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_deliciosa	FALSE
NC_034914	165200	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_eriantha	FALSE
NC_051888	165705	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_fulvicoma	FALSE
NC_051879	165707	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_hemsleyana	FALSE
NC_034915	165710	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_kolomikta	FALSE
NC_046507	165201	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_lanceolata	FALSE
NC_051880	165711	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_latifolia	FALSE
NC_066502	222504	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_lijiangensis	FALSE
NC_051887	165712	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_macrosperma	FALSE
NC_031186	64480	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_polygama	FALSE
NC_053769	2781649	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_rubus	FALSE
NC_039973	165716	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_rufa	FALSE
NC_051881	64481	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_setosa	FALSE
NC_031187	1735015	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_tetramera	FALSE
NC_050357	165719	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_valvata	FALSE
NC_069068	1286525	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_venosa	FALSE
NC_046477	165720	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia_zhejiangensis	FALSE
NC_069196	448037	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Clematoclethra	Clematoclethra_scandens	TRUE
NC_069064	55387	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Saurauia	Saurauia_napaulensis	TRUE
