Query	Start	End	Alignment	Classification	Recepient	Donor_Family	Donor_genera	Donor_species	Method	BS	Ingroup_seq_coverage	Ingroup_seq_fragment	Donor_seq_coverage	Donor_seq_fragment
Ain_1	526	782	Ain.hgt.1.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	826	1008	Ain.hgt.2.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	1086	1202	Ain.hgt.3.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	1319	1510	Ain.hgt.4.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	1495	1614	Ain.hgt.5.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	1718	3734	Ain.hgt.6.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	3761	3836	Ain.hgt.7.fas	High confidence HGT	query|Ain_1;Orobanchaceae|Aeginetia_indica|BK061406.1_3761-3836;Orobanchaceae|Aeginetia_indica|MW582538.1_27681-27756;Orobanchaceae|Aeginetia_indica|MW851294.1_163711-163786	Malvaceae	Corchorus	Malvaceae|Corchorus_capsularis|KT894204.1_450852-450927;Malvaceae|Corchorus_olitorius|KT894205.1_386497-386422	BLAST: exclusive homology in two families	NA	1.0	1.0	1.0	1.0
Ain_1	3860	4038	Ain.hgt.8.fas	Putative HGT	Orobanchaceae|Aeginetia_indica|BK061406.1_3860-4038;query|Ain_1;Orobanchaceae|Aeginetia_indica|MW582538.1_27780-27958;Orobanchaceae|Aeginetia_indica|MW851294.1_163810-163988	Apocynaceae	Cynanchum	Apocynaceae|Cynanchum_wilfordii|MF611848.1_2826-2648;Apocynaceae|Cynanchum_auriculatum|MH410146.1_196498-196676;Apocynaceae|Cynanchum_auriculatum|MH410147.1_8521-8699;Apocynaceae|Cynanchum_wilfordii|MH931258.1_2826-2648;Apocynaceae|Cynanchum_auriculatum|MH931260.1_196498-196676	Phylogeny	0.201	0.9217877094972067	1.0	0.9776536312849162	1.0
Ain_1	4032	4390	Ain.hgt.9.fas	High confidence HGT	Orobanchaceae|Aeginetia_indica|BK061406.1_4032-4390;Orobanchaceae|Aeginetia_indica|MW582538.1_27952-28310;Orobanchaceae|Aeginetia_indica|MW851294.1_163982-164340;query|Ain_1;Orobanchaceae|Christisonia_kwangtungensis|OM219027.1_181296-181639	Fabaceae	Inga;Senegalia	Fabaceae|Inga_oerstediana|OY723412.1_126424-126081;Fabaceae|Inga_leiocalycina|OY725333.1_807670-808013;Fabaceae|Inga_laurina|OY979714.1_416175-416518;Fabaceae|Senegalia_pennata|PV943378.1_104807-104464	Phylogeny: nested in donor family	0.919	1.0	1.0	0.958217270194986	1.0
Ain_1	5095	5238	Ain.hgt.10.fas	High confidence HGT	query|Ain_1;Orobanchaceae|Aeginetia_indica|BK061406.1_5095-5238;Orobanchaceae|Aeginetia_indica|MW582538.1_29015-29158;Orobanchaceae|Aeginetia_indica|MW851294.1_165042-165185;Orobanchaceae|Christisonia_kwangtungensis|OM219027.1_182379-182522	Malvaceae	Corchorus	Malvaceae|Corchorus_olitorius|KT894205.1_1252261-1252404	BLAST: exclusive homology in two families	NA	1.0	1.0	1.0	1.0
